2021-15-09 22:15:42.743 [main] INFO  Search - Станциии которые ищут: Чёрная речка,Чкаловская
2021-02-10 19:31:02.309 [main] INFO  Main - Станциии которые ищут: Автово,Волковская
2021-02-11 16:50:06.790 [main] INFO  Main - Станциии которые ищут: Фрунзенская,Балтийская
2021-02-11 16:50:57.529 [main] INFO  Main - Станциии которые ищут: Московские ворота,Балтийская
2021-02-11 16:51:13.588 [main] INFO  Main - Станциии которые ищут: Электросила,Нарвская
2021-02-11 16:57:39.066 [main] INFO  Main - Станциии которые ищут: Фрунзенская,Балтийская
2021-02-11 16:59:30.813 [main] INFO  Main - Станциии которые ищут: Московские ворота,Чернышевская
2021-02-11 17:01:38.387 [main] INFO  Main - Станциии которые ищут: Парк Победы,Чернышевская
2021-02-11 18:06:06.222 [main] INFO  Main - Станциии которые ищут: Чернышевская,Волковская
2021-02-11 18:14:42.276 [main] INFO  Main - Станциии которые ищут: Чернышевская,Обводный канал
2021-02-11 18:18:39.353 [main] INFO  Main - Станциии которые ищут: Чернышевская,Волковская
2021-02-11 18:50:05.678 [main] INFO  Main - Станциии которые ищут: Лесная,Академическая
2021-02-11 18:59:57.601 [main] INFO  Main - Станциии которые ищут: Лесная,Беговая
2021-02-11 19:46:02.130 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 19:51:49.064 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 19:53:51.641 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 19:55:23.062 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 19:59:26.366 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 20:00:46.290 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 20:01:06.232 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-11 20:02:10.071 [main] INFO  Main - Станциии которые ищут: Спортивная,Маяковская
2021-02-13 17:23:30.138 [main] INFO  Main - Станциии которые ищут: Площадь Восстания,Маяковская
2021-02-13 18:05:45.695 [main] INFO  Main - Станциии которые ищут: Площадь Восстания,Маяковская
2021-02-13 19:41:53.403 [main] INFO  Main - Станциии которые ищут: Чернышевская,Гостиный двор
2021-02-13 19:43:17.160 [main] INFO  Main - Станциии которые ищут: Чернышевская,Гостиный двор
2021-02-13 19:48:31.224 [main] INFO  Main - Станциии которые ищут: Площадь Восстания,Маяковская
2021-02-13 19:55:39.962 [main] INFO  Main - Станциии которые ищут: Ладожская,Спасская
